feature,mean_abs_shap
FAQ,0.06943908151565177
RAVLT_IMMEDIATE,0.0592233757980764
ADAS11,0.0547679095244649
ADASQ4,0.052725634293452416
LDELTOTAL,0.05201423548676351
APOE4,0.051645866133432146
ADAS13,0.045443475296386614
ECOGSPMEM,0.044713660391752376
MPACCTRAILSB,0.042439316917171656
RAVLT_LEARNING,0.03698415763056627
MPACCDIGIT,0.03531473254983637
MOCA,0.03349219989923764
CDRSB,0.030791669183236444
RAVLT_PERC_FORGETTING,0.0299112717371441
PTEDUCAT,0.02872876906974504
TRABSCOR,0.026314178304779955
ECOGSPTOTAL,0.026246167000393106
ECOGPTPLAN,0.02610467806996437
ECOGSPORGAN,0.025440378142344955
ECOGSPLANG,0.024596739920589594
MMSE,0.024045063618447975
FHQDAD,0.023948407097354216
FHQMOM,0.02293359519221541
ECOGSPPLAN,0.02287358927386948
PTGENDER,0.02220306636353575
RAVLT_FORGETTING,0.02204461660695052
ECOGSPVISSPAT,0.021729992047612005
ECOGPTORGAN,0.0213354693732649
ECOGPTTOTAL,0.021315311791669202
ECOGPTDIVATT,0.021255355129397076
ECOGPTVISSPAT,0.021141817253291117
DIGITSCOR,0.021011884550519996
ECOGSPDIVATT,0.02097410610616751
ECOGPTLANG,0.02030317020727052
ECOGPTMEM,0.019702020535423564
