feature,mean_abs_shap
FAQ,0.08057020301322744
RAVLT_IMMEDIATE,0.06616272472716657
APOE4,0.061695095290990924
LDELTOTAL,0.05015631225436237
ADAS13,0.04727351035068914
ADAS11,0.04444441026882497
RAVLT_PERC_FORGETTING,0.03951441348035032
ECOGSPMEM,0.03745399097165342
MPACCTRAILSB,0.03380897239674136
ADASQ4,0.03204577214081545
CDRSB,0.031246366384810164
ECOGSPTOTAL,0.030573819991546486
MPACCDIGIT,0.030380312145487712
MOCA,0.02984445152244299
TRABSCOR,0.028428498494215637
ECOGSPDIVATT,0.02793208905338063
ECOGSPPLAN,0.026205939954419968
ECOGSPORGAN,0.025876118704548284
ECOGPTORGAN,0.02526224188239247
MMSE,0.023949905481495656
ECOGPTPLAN,0.023712929231494494
ECOGPTVISSPAT,0.02328777867253966
RAVLT_LEARNING,0.023277994124609794
ECOGSPVISSPAT,0.023203524035119025
ECOGPTDIVATT,0.022900398468889388
FHQDAD,0.021150312412318063
RAVLT_FORGETTING,0.02054309911036582
ECOGSPLANG,0.019907267926943976
DIGITSCOR,0.01985495146430447
ECOGPTMEM,0.019786710205081652
PTEDUCAT,0.019425302220014155
FHQMOM,0.01884329591698555
ECOGPTLANG,0.01847706888465141
ECOGPTTOTAL,0.018345656206161014
PTGENDER,0.017742961679848013
