feature,mean_abs_shap_partial
FAQ,0.09106979534906523
LDELTOTAL,0.057165259066724296
RAVLT_IMMEDIATE,0.052564037693087415
TRABSCOR,0.05158963919335395
ECOGSPMEM,0.05065639037235295
ADAS13,0.050258186257401964
MPACCTRAILSB,0.04380818928056396
ADAS11,0.04071382311859025
MOCA,0.03952867734887185
RAVLT_PERC_FORGETTING,0.03686110480010615
CDRSB,0.03497012235302917
ADASQ4,0.0344714301563608
ECOGSPTOTAL,0.033905348912251526
APOE4,0.03360638230715119
MPACCDIGIT,0.03160658947977977
RAVLT_LEARNING,0.028682114127150837
ECOGSPPLAN,0.02689427798600609
ECOGPTPLAN,0.025676621279657245
ECOGSPORGAN,0.024901440728141603
ECOGSPDIVATT,0.024840479148241678
ECOGSPVISSPAT,0.02409581247313118
ECOGPTMEM,0.023358699154348406
MMSE,0.0228820782111153
PTEDUCAT,0.02158829520950561
RAVLT_FORGETTING,0.021088828723368185
ECOGSPLANG,0.020395927497537533
ECOGPTDIVATT,0.01987728947670454
ECOGPTORGAN,0.019555531883265812
DIGITSCOR,0.01855995432280076
ECOGPTTOTAL,0.018346697152474233
ECOGPTVISSPAT,0.018312734910187426
ECOGPTLANG,0.017979639518309127
FHQDAD,0.016972736726127386
FHQMOM,0.016818607746583593
PTGENDER,0.015978262270750148
