feature,mean_abs_shap_partial
FAQ,0.08391255372320629
RAVLT_IMMEDIATE,0.07251347156354535
APOE4,0.04983164063209889
LDELTOTAL,0.04596428132907079
ADAS11,0.04244942786588215
ADAS13,0.04036366822682068
RAVLT_PERC_FORGETTING,0.03875198754783211
CDRSB,0.03771296211517433
ADASQ4,0.03343388370039555
ECOGSPMEM,0.032456539235660005
MPACCTRAILSB,0.031254013971103105
MPACCDIGIT,0.029681552299151027
TRABSCOR,0.029648511646851214
MOCA,0.02792365607188332
RAVLT_LEARNING,0.024797730682366074
ECOGPTORGAN,0.02215695534492741
ECOGSPTOTAL,0.02211863488231543
ECOGPTPLAN,0.02200225591025103
ECOGPTTOTAL,0.0219953689564006
ECOGPTLANG,0.02198790043086053
PTEDUCAT,0.021626321203392602
ECOGSPPLAN,0.021419104841062315
ECOGSPLANG,0.02053212435545306
FHQMOM,0.019946361094465067
ECOGSPDIVATT,0.019767437361510584
ECOGSPVISSPAT,0.01954335178607548
RAVLT_FORGETTING,0.019251489769616822
ECOGPTVISSPAT,0.018922311788969633
ECOGPTDIVATT,0.018527940063034702
ECOGSPORGAN,0.018441128385744222
FHQDAD,0.018228317031198506
PTGENDER,0.017922618058392705
DIGITSCOR,0.017877666582387822
MMSE,0.01627654154791516
ECOGPTMEM,0.016052320182303903
