feature,mean_abs_shap_partial
FAQ,0.08367611093057793
RAVLT_IMMEDIATE,0.06630918477552401
CDRSB,0.05852131536344878
APOE4,0.04999278047073547
ADAS13,0.048584633123515984
ADASQ4,0.04316639713908754
RAVLT_LEARNING,0.04098778540491268
MPACCTRAILSB,0.03968405440981255
RAVLT_PERC_FORGETTING,0.0392777201425605
ADAS11,0.03813842982929721
ECOGSPMEM,0.03810517027989057
LDELTOTAL,0.03718629605335975
MPACCDIGIT,0.03474259085530527
TRABSCOR,0.03315395242504399
ECOGSPTOTAL,0.03290980773884253
MOCA,0.03178875048228535
ECOGSPLANG,0.03043520517054286
ECOGSPVISSPAT,0.02862729588095093
ECOGSPDIVATT,0.027569110320329323
ECOGPTPLAN,0.02737554278188796
MMSE,0.024987892441922985
ECOGPTDIVATT,0.024301043237578316
ECOGPTTOTAL,0.024053962809186164
ECOGSPPLAN,0.02374116275053823
PTEDUCAT,0.023698288989430816
DIGITSCOR,0.023638332712214025
ECOGSPORGAN,0.02331218945237452
ECOGPTLANG,0.022602642918263402
ECOGPTMEM,0.021570897476193698
ECOGPTORGAN,0.020578614198314252
FHQDAD,0.02018008529093517
ECOGPTVISSPAT,0.018849315993603278
PTGENDER,0.018783825843229716
FHQMOM,0.0186702159604536
RAVLT_FORGETTING,0.01818461757669786
