fold,acc,pre,sen,spe,f1,auc
1,0.7395833333333334,0.5833333333333334,0.6774193548387096,0.7692307692307693,0.6268656716417911,0.8397022332506203
2,0.8333333333333334,0.8076923076923077,0.65625,0.921875,0.7241379310344828,0.908447265625
3,0.78125,0.6896551724137931,0.625,0.859375,0.6557377049180327,0.84130859375
4,0.875,0.8333333333333334,0.78125,0.921875,0.8064516129032258,0.92578125
5,0.7789473684210526,0.6666666666666666,0.6451612903225806,0.84375,0.6557377049180327,0.8586189516129032
