feature,mean_abs_shap_partial
PTETHCAT,0.9581849729964254
NXTENDON,0.929818971588814
VSBPDIA,0.8603823341553197
FHQDADAD,0.8483801983906072
ADAS13,0.8065285121127627
NXCONSCI,0.7517830318675929
BCDROWSY,0.7263458283373144
PTGENDER,0.7169361657542485
ECOGSPDIVATT,0.7086307402407794
VSWEIGHT-kg,0.6886813735206355
BCOTHER,0.6855665098266662
BCFALL,0.6806678097493098
MH14ALCH,0.678287141257137
BCDIZZY,0.6741367673310779
BCMUSCLE,0.6680360165124807
ECOGPTPLAN,0.6625474683304027
FHQSIB,0.661964248370385
BCCHEST,0.6619352163351989
PTTLANG,0.6520433217586742
MH16SMOK,0.647626744306388
PXCHEST,0.6393107531893695
BCVISION,0.6358121350217933
PXHEART,0.6356463863038426
VSTEMP-C,0.6355795603570232
PTHOME,0.632837203050359
ECOGPTLANG,0.625161494607907
HMSCORE,0.6240371541919422
BCURNFRQ,0.622678778691243
CDRSB,0.6169396184917043
NXOTHER,0.6139599186958216
BCABDOMN,0.6120161093824872
PXOTHER,0.6113558774977956
ADAS11,0.6074163365291191
ECOGPTORGAN,0.6074034096310763
LDELTOTAL,0.606499640092184
BCENERGY,0.6056919787878428
NXPLANTA,0.5978942173326867
PXNECK,0.5974905999406522
ECOGPTMEM,0.5974872784008038
PXMUSCUL,0.5962610455233518
BCELMOOD,0.5939544503458142
BCCRYING,0.5934422498176782
MH17MALI,0.5927580197892874
PXSKIN,0.5924046396741157
RAVLT_FORGETTING,0.5854487100131058
ECOGPTDIVATT,0.5841473121190771
MH11HEMA,0.5800190598278906
BCINSOMN,0.5783081792141885
PXHEADEY,0.5771670725568331
VSHEIGHT-cm,0.5754150355044154
NXMOTOR,0.5752808957641922
MH3HEAD,0.5734911969275668
MH8MUSCL,0.5651948956769843
RAVLT_PERC_FORGETTING,0.5647477035528049
VSPULSE,0.5603928344956043
MH5RESP,0.5581172648058077
PTHAND,0.5578617664765095
PTPLANG,0.5552944049672529
NXHEEL,0.5545447818402753
BCWANDER,0.5540530777674885
PTRACCAT,0.5487172720584986
PXBACK,0.5481119717018145
ADASQ4,0.5475076918463672
BCNAUSEA,0.5438330210451368
BCPALPIT,0.5428321019063136
MMSE,0.5416241237021249
PXABDOM,0.535897583188432
ECOGPTVISSPAT,0.5339014498445525
MH2NEURL,0.5338026448816411
APOE4,0.533394802201559
FHQDAD,0.5305183699344064
BCDPMOOD,0.5284329263271846
RAVLT_LEARNING,0.5278029440588204
MH18SURG,0.5275830263795852
BCVOMIT,0.5274684291084294
BCURNDIS,0.5259910031282786
NXVISUAL,0.5247649727095024
MPACCTRAILSB,0.524403409166345
ECOGSPLANG,0.5231593596976716
BCANKLE,0.5156741369834914
MOCA,0.5144664303655564
ECOGPTTOTAL,0.5142520488472924
PXPERIPH,0.5135643253579885
BCCONSTP,0.509834101403669
PTNOTRT,0.5028077648570847
MH13ALLE,0.49778599199401785
NXGAIT,0.4976560730354014
ECOGSPMEM,0.49749973372443745
ECOGSPTOTAL,0.49564048079245493
MH15DRUG,0.49314820782526747
MHPSYCH,0.4923391443102494
NXSENSOR,0.4922838474376906
ECOGSPORGAN,0.4919359480476184
MH6HEPAT,0.49156241029315495
MPACCDIGIT,0.48324771731871036
PXEDEMA,0.4814742064785539
BCHDACHE,0.47940896332223976
NXFINGER,0.4781533078880155
NXAUDITO,0.4755490031786734
MH9ENDO,0.4754191832508194
RAVLT_IMMEDIATE,0.4747357322459922
MH4CARD,0.4740603102719116
BCDRYMTH,0.473499306460103
NXNERVE,0.4491958120841251
PXEXTREM,0.4488669980382868
FHQMOMAD,0.44525398229603197
ECOGSPVISSPAT,0.4441802583011492
TRABSCOR,0.4440905749525404
BCRASH,0.4432532705271101
BCCOUGH,0.44241416803830136
VSRESP,0.4374171836885632
MH19OTHR,0.4337115879235773
FAQ,0.4323564616850471
VSBPSYS,0.4304385536152922
PTMARRY,0.42951051088448816
MH7DERM,0.4275695932148989
ECOGSPPLAN,0.4270431509183285
PTEDUCAT,0.4248493468836191
BCDIARRH,0.4190484628645245
PTDOBYY,0.41611660560570934
NXTREMOR,0.411481201960487
MH12RENA,0.409089044884063
BCBREATH,0.40745926976278496
DIGITSCOR,0.4067999417890725
FHQMOM,0.405289242994065
BCSWEATN,0.39874897229905726
PXGENAPP,0.3654888871292643
MH10GAST,0.3481684955630209
GDTOTAL,0.32940380829028654
NPISCORE,0.316261361856079
