feature,mean_abs_shap
NXTENDON,0.8141566488776939
VSBPDIA,0.7878756057747387
PTETHCAT,0.7616803631908822
FHQDADAD,0.7413978192044773
PTGENDER,0.7002027028251193
ADAS13,0.6994266770762995
ECOGPTDIVATT,0.6972969586877168
BCDROWSY,0.6950558342143487
BCDIZZY,0.6889352211346309
BCURNFRQ,0.6773714985172541
ECOGPTPLAN,0.6771401758704266
NXCONSCI,0.6720265616804764
PXHEART,0.6707238855585269
BCPALPIT,0.6698863563341683
HMSCORE,0.6683362000606707
BCENERGY,0.6632893886976038
MMSE,0.6521646031059676
MH6HEPAT,0.6521349005031483
FHQSIB,0.6521132857679911
MH14ALCH,0.6503803005542826
ADAS11,0.6386669731987558
ECOGSPDIVATT,0.6377972586004483
ECOGPTTOTAL,0.6364473012418871
VSTEMP-C,0.6300259188059263
NXTREMOR,0.6270270112819669
PXCHEST,0.6251121199510521
NXOTHER,0.6231892413182869
PTTLANG,0.6224721782603282
MH2NEURL,0.621527316893262
ECOGPTORGAN,0.6151293696051334
BCVISION,0.613860655117133
PXOTHER,0.6136697760824444
MH16SMOK,0.6101659755177133
APOE4,0.6079601240868477
BCMUSCLE,0.6074734506171653
MH17MALI,0.6066496282402409
VSWEIGHT-kg,0.6060483820946505
BCCHEST,0.6050765946045645
BCABDOMN,0.6035648449672936
RAVLT_FORGETTING,0.6015909059935716
ECOGPTLANG,0.6007171208597322
ECOGSPLANG,0.5982572363127485
MH11HEMA,0.5976935257721782
MH7DERM,0.590488477554843
MPACCTRAILSB,0.589676394960501
PXPERIPH,0.586852119540483
CDRSB,0.584933341691864
NXPLANTA,0.5843464783209464
PXBACK,0.5825694652731246
BCSWEATN,0.5817614827818308
PXHEADEY,0.5734897465713994
BCOTHER,0.572811367275322
PXSKIN,0.56991080928721
BCFALL,0.5666860269749312
BCWANDER,0.566330030525417
MH8MUSCL,0.5650098894650716
MH19OTHR,0.562094001116386
PXEDEMA,0.557390912084462
VSBPSYS,0.5567723381053082
PXMUSCUL,0.555492355406932
MH18SURG,0.555154363839696
PTHAND,0.554971094417319
MH3HEAD,0.55066273263197
BCVOMIT,0.5499896209834547
BCELMOOD,0.5489339279646938
NXMOTOR,0.548314671922219
BCNAUSEA,0.5478998135210389
FHQDAD,0.5478420046150007
PTHOME,0.5459232256144411
NXHEEL,0.5454672525386167
FAQ,0.5443893933744945
PXNECK,0.5434748363152347
NXSENSOR,0.5408894969193175
VSHEIGHT-cm,0.5390989430630447
PTMARRY,0.538668387409948
BCCRYING,0.5386196053308554
BCDRYMTH,0.536416657206728
ECOGPTMEM,0.5355868793737448
BCHDACHE,0.5316619473083701
NXFINGER,0.5254470854057821
LDELTOTAL,0.5245431374038171
RAVLT_IMMEDIATE,0.5236372654170574
MOCA,0.5217571514413303
VSPULSE,0.5168509618007289
NXAUDITO,0.5160594689831468
BCDPMOOD,0.5148352545070038
MH13ALLE,0.5144026875329176
PXABDOM,0.5085553475492852
VSRESP,0.5081043877483219
ECOGPTVISSPAT,0.5059030117962011
MPACCDIGIT,0.5055910163227142
BCINSOMN,0.5034894206195414
BCANKLE,0.5005468831519405
PTRACCAT,0.5000938708432152
PTPLANG,0.49739065599773785
FHQMOM,0.4963911832126447
ADASQ4,0.49449826944069675
RAVLT_PERC_FORGETTING,0.49199300702711435
MH15DRUG,0.49093392535851055
MHPSYCH,0.4906130008051903
BCCONSTP,0.4904556391868613
FHQMOMAD,0.4882703038370164
PXEXTREM,0.47918345639746623
MH4CARD,0.4751686448098563
TRABSCOR,0.474963150305093
RAVLT_LEARNING,0.4744750174558191
MH12RENA,0.4720972773914235
BCURNDIS,0.46789809461052817
NXVISUAL,0.4661468047550232
MH9ENDO,0.46583196197274673
NXGAIT,0.45975496060071547
MH5RESP,0.45581790303683095
BCCOUGH,0.453814802682563
PTDOBYY,0.4471782338570872
ECOGSPTOTAL,0.44402173986264837
PXGENAPP,0.43769623220831866
DIGITSCOR,0.43227515135372874
PTNOTRT,0.4320350663826013
BCRASH,0.4274134053821113
ECOGSPMEM,0.42701857962933343
GDTOTAL,0.4256371358320254
ECOGSPORGAN,0.42454560628771043
ECOGSPPLAN,0.40874330801841274
MH10GAST,0.4082917407285494
PTEDUCAT,0.4078670413826949
BCBREATH,0.40504956082868065
ECOGSPVISSPAT,0.39288466214556084
NXNERVE,0.38436383967545573
BCDIARRH,0.38276427792186996
NPISCORE,0.33369296222395795
