feature,mean_abs_shap
MH7DERM,3.3940699483167163
RAVLT_PERC_FORGETTING,2.580615757696607
NXMOTOR,2.4928337817296407
PXBACK,2.223574259655361
ECOGPTMEM,2.169322866694245
BCCONSTP,2.1283627440658357
BCCOUGH,2.1276544122078302
ECOGPTTOTAL,2.107543772043915
BCDIZZY,1.9380694441862314
ECOGSPORGAN,1.903289003613957
BCCHEST,1.885489922825795
PXHEADEY,1.863143460332754
CDRSB,1.8462674597711863
BCINSOMN,1.797203807216367
NXSENSOR,1.7904009394764326
PXEDEMA,1.7804289775608615
MPACCTRAILSB,1.712813235215033
MH13ALLE,1.7029607903302633
MH9ENDO,1.661750575164494
ECOGPTVISSPAT,1.6421645689825002
PXMUSCUL,1.637609566808795
MH12RENA,1.6237909259391008
NXGAIT,1.6185727534039094
NXHEEL,1.6116252743185895
BCSWEATN,1.5425605976538233
MH5RESP,1.535016356485469
PTRACCAT,1.5315355437355966
PTEDUCAT,1.5172513698288619
ECOGSPDIVATT,1.5147684042911829
BCRASH,1.5075801802864317
MH8MUSCL,1.5058813539432112
BCVISION,1.4949844788300508
MH19OTHR,1.4897960161934707
BCPALPIT,1.4806477451368847
TRABSCOR,1.4789106069869693
NXFINGER,1.4703419171288574
ECOGPTLANG,1.4672274574531745
MH10GAST,1.4424143695124165
PXHEART,1.4389615296645768
PXEXTREM,1.430882298794879
PTDOBYY,1.427331700674772
PTTLANG,1.4248293572337347
PXSKIN,1.4189666248680783
VSWEIGHT-kg,1.4129179311972868
BCURNFRQ,1.4090200759326128
ECOGSPPLAN,1.4059140242593975
PTNOTRT,1.4006326445556205
APOE4,1.3993215529090073
ECOGSPLANG,1.3901702307142447
MH17MALI,1.389969612312364
NXTENDON,1.3826953582906258
NXNERVE,1.3749368143755172
MOCA,1.3710126170197803
FHQSIB,1.3595046334125636
PXABDOM,1.3568154405464201
PTHAND,1.3473785429259764
MH16SMOK,1.3277265026944234
ECOGSPMEM,1.3112921691343544
BCDROWSY,1.3045340754026242
BCOTHER,1.296771336526639
PTETHCAT,1.295940705024806
ADAS13,1.279385516634521
DIGITSCOR,1.2696582773628342
BCBREATH,1.2501386338786327
PTPLANG,1.2367917039117569
BCABDOMN,1.2346445064670577
FHQDAD,1.2261369537058784
MH18SURG,1.2257645366250938
MMSE,1.2242703591404445
FHQDADAD,1.2177556889869907
MH14ALCH,1.216007951640648
RAVLT_IMMEDIATE,1.2126831671692313
MH6HEPAT,1.2126199703235607
ECOGSPVISSPAT,1.2114008490915371
BCNAUSEA,1.190179220783115
VSTEMP-C,1.1855711562001894
BCCRYING,1.1852496280102882
BCENERGY,1.1799347581447168
PXCHEST,1.176145475621936
RAVLT_LEARNING,1.1718231626035571
BCDRYMTH,1.1615706422901393
LDELTOTAL,1.1520755837150631
MH3HEAD,1.1502400048428514
PTHOME,1.1405683006001215
NXTREMOR,1.1382915912775682
VSHEIGHT-cm,1.1357101938408214
VSPULSE,1.13490878780866
HMSCORE,1.1202009653169738
PXGENAPP,1.1162647899178675
BCWANDER,1.1137425247175972
PXNECK,1.0915810943695234
BCVOMIT,1.07942125716852
BCFALL,1.0728144925989536
FHQMOM,1.0519684283309612
NXAUDITO,1.0421390040144078
FAQ,1.041410780271868
BCURNDIS,1.0404141915271128
BCANKLE,1.0353827770811583
NXOTHER,1.0352186390415967
FHQMOMAD,1.0327360934062675
PXPERIPH,1.00361150444825
VSBPDIA,0.9945396029562351
MH2NEURL,0.987440313246294
GDTOTAL,0.9760145307953776
VSRESP,0.9632498960857165
BCMUSCLE,0.957758276620187
VSBPSYS,0.9514403620635618
MPACCDIGIT,0.9457783347196366
BCDPMOOD,0.9436396451616496
ECOGPTORGAN,0.9326439156936218
ADASQ4,0.92864932450213
MH11HEMA,0.9177803014968299
BCELMOOD,0.9096729602219861
MHPSYCH,0.9020747384663163
RAVLT_FORGETTING,0.9014818983764994
NXCONSCI,0.8988022688550497
PTMARRY,0.878145940523845
NPISCORE,0.8681661012307115
NXPLANTA,0.8538031484915188
PXOTHER,0.8218795959727808
MH4CARD,0.8007376279252209
ADAS11,0.7926403865792128
ECOGPTDIVATT,0.7792961287534746
BCDIARRH,0.7783807131701946
MH15DRUG,0.7680971981388028
PTGENDER,0.7595600305596678
ECOGSPTOTAL,0.7456118806516013
BCHDACHE,0.7224783736164827
ECOGPTPLAN,0.6719162332092359
NXVISUAL,0.5885052803649903
