fold,acc,pre,sen,spe,f1,auc
1,0.7708333333333334,0.6285714285714286,0.7096774193548387,0.8,0.6666666666666666,0.8377171215880893
2,0.84375,0.7741935483870968,0.75,0.890625,0.7619047619047619,0.904296875
3,0.7916666666666666,0.7,0.65625,0.859375,0.6774193548387096,0.84814453125
4,0.875,0.8571428571428571,0.75,0.9375,0.8,0.93408203125
5,0.7894736842105263,0.6896551724137931,0.6451612903225806,0.859375,0.6666666666666666,0.858366935483871
