feature,mean_abs_shap
FAQ,0.08643304649669904
RAVLT_IMMEDIATE,0.07999994415968757
ADAS13,0.06750386712759472
LDELTOTAL,0.0612186359063478
RAVLT_PERC_FORGETTING,0.05561386525671084
APOE4,0.05380153366273025
ECOGSPMEM,0.053471652596474635
CDRSB,0.05055717939965432
ADAS11,0.04896353468599062
MPACCTRAILSB,0.04882381306490638
ADASQ4,0.04622562779084687
RAVLT_LEARNING,0.04549006327588886
NPISCORE,0.04197752364526755
PXGENAPP,0.04077933389205405
TRABSCOR,0.03992310337997057
ECOGPTPLAN,0.03984694337341701
MPACCDIGIT,0.03914078739722063
BCMUSCLE,0.03902627199871928
PXSKIN,0.03879913411758493
PXPERIPH,0.03840241785931688
ECOGSPORGAN,0.038097220422281516
ECOGSPTOTAL,0.03778005782009155
ECOGSPPLAN,0.03715177256164891
ECOGSPVISSPAT,0.03637638029528042
BCCONSTP,0.03619585869435037
BCOTHER,0.03615556202224427
PXEXTREM,0.03604337865912919
BCDPMOOD,0.036002609316060946
MOCA,0.03583378041745141
BCFALL,0.03580054952847476
BCINSOMN,0.035230023556221075
DIGITSCOR,0.035209548318058885
PXABDOM,0.03505876094376549
PTHOME,0.03504573605112188
MH13ALLE,0.03493867808060437
MH11HEMA,0.034934062503951334
FHQMOMAD,0.03451418857213907
ECOGPTTOTAL,0.034500099716970586
BCURNFRQ,0.034184326979831633
RAVLT_FORGETTING,0.03404100735872615
FHQSIB,0.03401816275456507
BCVISION,0.03397747801000572
PTPLANG,0.03392415350947529
BCSWEATN,0.03392404166774945
MH17MALI,0.033919273214422806
PTHAND,0.033893778065294124
NXCONSCI,0.033776786798925575
MH2NEURL,0.03360284513110736
PTMARRY,0.033593699003882205
ECOGPTDIVATT,0.033558017418861545
VSBPSYS,0.033522669357611744
MH19OTHR,0.03351227016373057
MH7DERM,0.033428657701353656
NXFINGER,0.033336538200025516
FHQMOM,0.03331544891895929
PTRACCAT,0.033302758120028246
BCDIARRH,0.032982761669582965
NXVISUAL,0.032965429148871565
ECOGPTVISSPAT,0.03294031819402161
BCDROWSY,0.03292744009147577
NXAUDITO,0.032786531014585694
NXGAIT,0.032778403905867844
PTETHCAT,0.03274065678464321
NXTENDON,0.032720094755298475
MH4CARD,0.032674728268840346
ECOGPTMEM,0.03266754426548084
MH5RESP,0.032542957333674565
HMSCORE,0.032512612359199236
NXTREMOR,0.03239113832512761
PTDOBYY,0.032301567245074485
PXNECK,0.03229315247269949
ECOGSPLANG,0.03223031721025695
GDTOTAL,0.03212965644845813
BCENERGY,0.03211884117383258
VSPULSE,0.03209367589772707
MH16SMOK,0.03207721380912513
ECOGSPDIVATT,0.032030208214833454
VSRESP,0.03196593641339666
BCHDACHE,0.031948525749903194
VSHEIGHT-cm,0.031902477549379846
BCELMOOD,0.03172589276289301
PTEDUCAT,0.03167073929201627
BCDRYMTH,0.031424105146819134
PXHEART,0.03141345058093288
PTGENDER,0.03137509124958854
NXMOTOR,0.03134435863296955
MH9ENDO,0.031339921502850594
ECOGPTORGAN,0.03129638692145938
BCWANDER,0.031283785891615644
NXHEEL,0.031275688676290624
MH18SURG,0.031271081749354515
MH14ALCH,0.031229780830768453
MH10GAST,0.03110327900878464
PXBACK,0.030988963906902395
BCDIZZY,0.03095383606859539
BCCRYING,0.030931185183410745
BCCOUGH,0.03091619324060241
BCANKLE,0.030844137116814444
MH3HEAD,0.030828601412596607
MH8MUSCL,0.030789446303794776
PXCHEST,0.030752123257809974
FHQDAD,0.030695027240217942
PXHEADEY,0.030588608111976476
BCNAUSEA,0.030550230561983943
MH12RENA,0.030539508349645344
PTTLANG,0.0305227426229745
NXOTHER,0.030440266942229382
PXOTHER,0.029976948998182804
MH6HEPAT,0.029764691627408333
VSWEIGHT-kg,0.02966935322003804
BCCHEST,0.02966103221070003
PXMUSCUL,0.02949604998858425
BCURNDIS,0.02948722620278969
NXSENSOR,0.029451071841643403
VSTEMP-C,0.029092680056828437
MMSE,0.02904291804282214
VSBPDIA,0.028950541145349812
PTNOTRT,0.028649254641440757
BCRASH,0.0284989332953994
BCABDOMN,0.028449755455517617
BCPALPIT,0.028241426190169047
NXPLANTA,0.02822774111234412
MH15DRUG,0.027949271793979786
FHQDADAD,0.027636726616801627
BCVOMIT,0.02751710540159365
PXEDEMA,0.027461630822738333
BCBREATH,0.026979776308949068
MHPSYCH,0.026616266826184606
NXNERVE,0.025748140136186135
ECOGPTLANG,0.024238515974754946
