feature,mean_abs_shap
FAQ,0.08577611553938297
RAVLT_IMMEDIATE,0.07906090298090647
APOE4,0.06777121892697771
ADAS13,0.06397745298976043
LDELTOTAL,0.061394921592105904
MPACCTRAILSB,0.05837671671533348
ADASQ4,0.05592621885057845
ADAS11,0.05557377085040205
ECOGSPMEM,0.05444471881825394
RAVLT_LEARNING,0.05140730607256363
RAVLT_PERC_FORGETTING,0.04959627162067957
CDRSB,0.04955914909796425
MPACCDIGIT,0.04906696770071544
ECOGSPORGAN,0.04686827079424264
NPISCORE,0.04456779188544393
MOCA,0.04404502611376804
MMSE,0.04350718724796578
ECOGSPTOTAL,0.042966047174093046
ECOGPTPLAN,0.04291354936198783
ECOGPTORGAN,0.04189077698230954
ECOGSPPLAN,0.040810143476355136
PXBACK,0.040800789625663345
FHQDADAD,0.040370436933986745
ECOGPTLANG,0.040307506803558955
PTDOBYY,0.04024569549441366
PXHEADEY,0.040134899888185145
ECOGSPVISSPAT,0.039909805770993505
MH18SURG,0.03984370429746371
BCCONSTP,0.0398178294421489
RAVLT_FORGETTING,0.039502342885159004
TRABSCOR,0.038996541159717686
PTRACCAT,0.038894866195377846
ECOGSPDIVATT,0.03887871565782833
BCDRYMTH,0.038788683398055065
GDTOTAL,0.03858473669274991
MH4CARD,0.03827892645610307
MH13ALLE,0.038257753882040585
VSBPSYS,0.038172211309803826
MH15DRUG,0.03808388569967703
MH10GAST,0.037994096086123974
PTMARRY,0.03793224979394302
NXTREMOR,0.037772785797176224
PXCHEST,0.03774437673076194
NXMOTOR,0.03773830164321796
MH7DERM,0.03772925402873909
NXFINGER,0.03765845145511146
NXTENDON,0.037521321416729876
PTETHCAT,0.03750917398996605
MHPSYCH,0.03749119987312736
MH5RESP,0.037395733290927186
DIGITSCOR,0.03724208236498551
PXOTHER,0.03702334303229481
BCDIARRH,0.03696886981988485
PXHEART,0.036867527562713394
MH8MUSCL,0.03685023036097671
ECOGPTMEM,0.03668383223745584
PXPERIPH,0.0365686032316298
BCINSOMN,0.03633820076282944
BCURNFRQ,0.03621545642418821
PTGENDER,0.03617029158156235
ECOGPTTOTAL,0.03610277701781642
ECOGSPLANG,0.036035003131493645
NXHEEL,0.035945125294669845
NXCONSCI,0.035944972678384146
MH11HEMA,0.03586489328475492
VSHEIGHT-cm,0.03585906352117963
BCBREATH,0.03551613852334824
PXEXTREM,0.03538686897321159
NXGAIT,0.03537069331839799
ECOGPTVISSPAT,0.03531867616242967
PTEDUCAT,0.035145756301964974
BCNAUSEA,0.035111807554600014
VSTEMP-C,0.03503399509024262
MH9ENDO,0.03495286977884445
PXEDEMA,0.03494542478497662
MH14ALCH,0.03489279081891378
PTHAND,0.0348716263542199
NXSENSOR,0.03483670831652078
MH12RENA,0.034832426084684225
VSRESP,0.034625462969590265
BCVISION,0.03458080962833345
BCABDOMN,0.03433541492268404
BCVOMIT,0.03432454445205095
BCCRYING,0.03426348072721006
VSWEIGHT-kg,0.03420874144126422
NXVISUAL,0.034197657605369615
BCDPMOOD,0.03417540530126901
PTHOME,0.03411186091683552
NXPLANTA,0.033998081857685554
BCANKLE,0.03388483314184675
BCOTHER,0.033763305874394835
HMSCORE,0.03369638788883191
PXABDOM,0.033627079561367394
NXOTHER,0.03357485233353321
BCPALPIT,0.0334753143965009
BCRASH,0.0334229107981725
MH16SMOK,0.033396713368807666
BCSWEATN,0.03324583246376003
FHQDAD,0.03320587411231942
PTPLANG,0.03295195801217019
FHQMOMAD,0.032832716944415176
MH2NEURL,0.03278245733741579
BCMUSCLE,0.03258878624926945
VSPULSE,0.03257869024306308
BCFALL,0.03254041758356143
FHQSIB,0.032458760922494896
MH19OTHR,0.03239387856529199
BCCHEST,0.032267222034274866
NXNERVE,0.03195832573942441
FHQMOM,0.031917522847461126
BCCOUGH,0.03191425681547439
PXNECK,0.03187781663683612
PXMUSCUL,0.03183317453769912
PXSKIN,0.03176833849476642
BCWANDER,0.031668835801447186
BCHDACHE,0.031663427701223566
MH6HEPAT,0.03150661966835519
ECOGPTDIVATT,0.03132904873769207
BCENERGY,0.03106549495015259
PXGENAPP,0.0310308566267696
BCELMOOD,0.031018851795680844
MH3HEAD,0.03083741101041748
BCURNDIS,0.03068508127031212
BCDROWSY,0.030508045131587305
NXAUDITO,0.030377475137121652
VSBPDIA,0.02993402701061346
BCDIZZY,0.029448556928368164
MH17MALI,0.029250256274169283
PTNOTRT,0.028883525392785627
PTTLANG,0.026680877097943246
