feature,mean_abs_shap_partial
FAQ,0.09166040095649676
RAVLT_IMMEDIATE,0.07523058060038762
ADAS13,0.06918756330616259
CDRSB,0.067802517233822
NPISCORE,0.062488434918016054
LDELTOTAL,0.06096328114352803
ADASQ4,0.05982579459147669
MPACCTRAILSB,0.05852565112364782
MPACCDIGIT,0.05509228686351056
RAVLT_PERC_FORGETTING,0.054853938230821415
ECOGSPMEM,0.053598861846616615
RAVLT_LEARNING,0.051996441283127165
APOE4,0.05154277967117127
ADAS11,0.050923659827940164
MOCA,0.05063819605034504
PTGENDER,0.04763776569721573
ECOGSPTOTAL,0.047583950874975356
PXEDEMA,0.04757268702965062
ECOGSPDIVATT,0.047529682217726264
MMSE,0.046969298585808957
ECOGSPVISSPAT,0.0460454059147909
ECOGPTPLAN,0.04502274281341987
BCDIZZY,0.044770332201994195
NXOTHER,0.044539045727893196
FHQDADAD,0.04394990563404389
ECOGSPPLAN,0.04341229730834192
BCDROWSY,0.04317777522624749
TRABSCOR,0.04311061869676016
MH12RENA,0.0426505892414402
BCOTHER,0.04243233326257543
MH4CARD,0.04223252928698278
NXSENSOR,0.04216240420516041
NXVISUAL,0.0418550793026839
VSWEIGHT-kg,0.04170791035554893
RAVLT_FORGETTING,0.04132818428827871
HMSCORE,0.04131505308755431
VSHEIGHT-cm,0.04120915522079561
MH13ALLE,0.04115171142997332
BCABDOMN,0.04108137290185519
ECOGPTLANG,0.04101974610506977
PTEDUCAT,0.04100799068645445
PXABDOM,0.04081695990221692
ECOGPTDIVATT,0.04070357034619065
FHQDAD,0.0406947039033437
VSTEMP-C,0.04069360789598316
MH8MUSCL,0.040264264134777024
ECOGPTVISSPAT,0.04002446398220202
VSRESP,0.04001691427079486
MH11HEMA,0.03980536186367966
BCDRYMTH,0.03971576946308377
PXHEADEY,0.039671795541149926
MH10GAST,0.0396056089573683
BCDPMOOD,0.03941589547163946
NXAUDITO,0.039330249045800875
MH14ALCH,0.03916877571874273
ECOGSPORGAN,0.039000012740971736
NXCONSCI,0.03896665791415214
PXEXTREM,0.03881094999468266
BCCOUGH,0.03873688082130506
BCURNDIS,0.03870624772859039
BCURNFRQ,0.03870319699908224
ECOGSPLANG,0.03869771897098561
BCCHEST,0.03859033186139031
BCPALPIT,0.03851616634751444
MH6HEPAT,0.038445209075092975
PXGENAPP,0.03841981472858336
BCCONSTP,0.03833398303779655
MH19OTHR,0.03832417003556592
MH2NEURL,0.03813115728832974
NXTENDON,0.03810730087276732
FHQSIB,0.03797255149825351
NXHEEL,0.037831430333218515
BCINSOMN,0.03775916106414106
ECOGPTMEM,0.037668703433366375
PTTLANG,0.03759536558073933
FHQMOMAD,0.037513411899079134
MH7DERM,0.0374363629010404
BCCRYING,0.03735116560322522
BCWANDER,0.03734510566363502
NXMOTOR,0.037263606387631105
PTMARRY,0.037208919431847225
BCANKLE,0.03715571117696923
PXHEART,0.037143646620406194
VSPULSE,0.03707822385608154
MH17MALI,0.03706935636742186
BCRASH,0.03693058013893822
BCHDACHE,0.03688702158550334
GDTOTAL,0.036651536735178854
MH3HEAD,0.03654176608748924
ECOGPTORGAN,0.036540625985968266
BCELMOOD,0.03652123384237289
MH5RESP,0.03645740504486076
PXOTHER,0.036300591527711895
PXSKIN,0.0362281455867162
DIGITSCOR,0.036027195588204185
PTHOME,0.035862093278446326
PXMUSCUL,0.03572302739879734
FHQMOM,0.035616797195888165
PTRACCAT,0.03558706437663134
VSBPSYS,0.035575266252600046
BCFALL,0.03550605499832044
NXGAIT,0.035394448961015144
MH9ENDO,0.035347438017177345
BCENERGY,0.035265170071543575
NXTREMOR,0.03512508448837375
PXCHEST,0.035079809512690734
PTPLANG,0.035041042919920745
PTETHCAT,0.0350294172689662
NXNERVE,0.035013614679557964
BCVISION,0.034953323489004255
PXNECK,0.034582797688725034
PTHAND,0.03455150845618239
MH18SURG,0.03435150004721443
MH15DRUG,0.0341276645951408
ECOGPTTOTAL,0.034079984252333585
BCDIARRH,0.03368568496246761
PTDOBYY,0.033626374268591164
PXPERIPH,0.03345106177687473
PTNOTRT,0.033299584681533066
PXBACK,0.03319413110763009
BCMUSCLE,0.03307711441220876
MHPSYCH,0.03286759371076614
BCNAUSEA,0.032401579752255945
MH16SMOK,0.032137764454550445
BCBREATH,0.032111712228565154
NXFINGER,0.03202480606222161
BCVOMIT,0.03197502860665351
BCSWEATN,0.03144541553276589
NXPLANTA,0.03136216089132007
VSBPDIA,0.0312785458765442
