feature,mean_abs_shap_partial
FAQ,0.0981068411032312
ECOGSPMEM,0.07559888759836651
RAVLT_IMMEDIATE,0.07127358830116341
LDELTOTAL,0.06511901522157997
ADAS13,0.056845198191249294
RAVLT_PERC_FORGETTING,0.05675981729506931
ECOGSPTOTAL,0.05510761832064678
TRABSCOR,0.05465438955710677
RAVLT_LEARNING,0.053162944096200385
ADASQ4,0.05180949697521892
CDRSB,0.05069587261801166
MPACCTRAILSB,0.04943628297639474
FHQDADAD,0.04820445722117935
ADAS11,0.046483220163201666
MPACCDIGIT,0.04507738696442647
ECOGPTPLAN,0.04305629506794608
MOCA,0.041551028348899476
APOE4,0.041463095628912636
ECOGPTMEM,0.040388947998475117
NPISCORE,0.040356080296226525
ECOGSPORGAN,0.039536762464986816
PTRACCAT,0.03941485605384818
NXHEEL,0.03905999681244171
PXNECK,0.038837923176099375
BCINSOMN,0.03872994430842367
PXBACK,0.03872462702608653
ECOGSPLANG,0.03848249127238229
FHQSIB,0.03816390713132967
PTEDUCAT,0.03790065699900129
BCDRYMTH,0.037774337820943214
NXMOTOR,0.03763177742340852
BCVOMIT,0.03745285000706157
MMSE,0.037367908677336914
BCWANDER,0.0371470081174467
BCELMOOD,0.0370505150954057
VSPULSE,0.03704714127774269
BCNAUSEA,0.03631047604981338
MHPSYCH,0.03629380038709629
PXPERIPH,0.036154287189601036
BCCONSTP,0.03605824760524737
PXGENAPP,0.03587859390247338
NXPLANTA,0.03586913874159113
BCFALL,0.03578163010462825
PTMARRY,0.035604001039415314
BCSWEATN,0.035438281966903046
ECOGSPVISSPAT,0.03540292171686649
MH2NEURL,0.035348572608300245
VSBPDIA,0.03528351086239566
PTETHCAT,0.03526778170233454
PXEDEMA,0.03524969822102127
NXFINGER,0.03523988941564188
PXEXTREM,0.03517278074068916
MH19OTHR,0.03512156257987513
BCCHEST,0.03508868586575018
BCDROWSY,0.0349857037071467
ECOGPTORGAN,0.034872828047870105
PTHAND,0.034729573588276975
HMSCORE,0.03456888800433762
VSHEIGHT-cm,0.03443493211237267
NXTREMOR,0.03415440820303081
MH16SMOK,0.034114269299613156
NXCONSCI,0.034059172508302434
NXVISUAL,0.03387161336260811
MH6HEPAT,0.03385926450762202
ECOGSPPLAN,0.0338118507778895
PTDOBYY,0.033760324366044606
PTNOTRT,0.03355115332898153
PXCHEST,0.0335166974050518
BCMUSCLE,0.033469533239090576
NXAUDITO,0.033462782224732784
GDTOTAL,0.03316927355103311
BCURNFRQ,0.0330597228924173
BCRASH,0.032997485204608185
MH10GAST,0.03293686079994816
PTHOME,0.03286696048491623
PXHEADEY,0.0326102323580906
PTTLANG,0.03247454303535861
MH17MALI,0.03242177085912829
DIGITSCOR,0.03240762187342065
BCBREATH,0.032215336284205365
MH12RENA,0.032137000027415596
MH8MUSCL,0.03196880403080326
BCANKLE,0.03185553713957657
PXMUSCUL,0.031821744288792586
PXSKIN,0.03178347090640399
MH4CARD,0.03176978353464962
RAVLT_FORGETTING,0.031496340592767014
FHQMOM,0.031421210164025284
ECOGSPDIVATT,0.03127684682441045
NXOTHER,0.03119204182524053
BCVISION,0.031126115044064973
FHQDAD,0.03107234154086273
BCABDOMN,0.030873558459459747
PTPLANG,0.03076719214306914
NXGAIT,0.030666204687113834
MH5RESP,0.030492344623825118
NXTENDON,0.030489062083502372
BCCRYING,0.03039123284539168
MH18SURG,0.030167027480066205
BCDIZZY,0.030111332521820397
MH3HEAD,0.030076977122822316
BCDIARRH,0.030026562116323867
MH14ALCH,0.029954641587674906
MH11HEMA,0.02990682367605531
NXSENSOR,0.029729063165984792
BCPALPIT,0.029707557472904964
ECOGPTTOTAL,0.029689726516070172
VSBPSYS,0.029352275612363848
MH15DRUG,0.02929046119293618
PTGENDER,0.02927111416884819
BCHDACHE,0.029212810037054
ECOGPTLANG,0.0289445542772916
VSTEMP-C,0.02877560123394508
MH9ENDO,0.028276980409023458
MH13ALLE,0.02803243972068156
BCDPMOOD,0.028014143960584072
BCOTHER,0.02795588897046699
BCENERGY,0.027873808257708042
VSRESP,0.027704382876664307
PXHEART,0.027557718728842665
BCCOUGH,0.027532389624687313
FHQMOMAD,0.027234681466334985
ECOGPTDIVATT,0.027160786683515195
NXNERVE,0.027077807531849584
ECOGPTVISSPAT,0.027075129778580686
PXOTHER,0.026624255729579948
VSWEIGHT-kg,0.026371754778115385
MH7DERM,0.02516600025931031
PXABDOM,0.02508197966499061
BCURNDIS,0.02387214169152487
