feature,mean_abs_shap
FAQ,0.09700383442101317
LDELTOTAL,0.06868574754660649
RAVLT_IMMEDIATE,0.06816386665943466
ECOGSPMEM,0.06667168735358694
ADAS13,0.05884268482269397
TRABSCOR,0.05349771299250377
RAVLT_PERC_FORGETTING,0.05296102510322114
MPACCTRAILSB,0.05253174456266054
CDRSB,0.05081526159992584
ADAS11,0.05075802718546691
RAVLT_LEARNING,0.04905635787853953
ADASQ4,0.04878304619133675
MPACCDIGIT,0.04861450914402489
FHQDADAD,0.04605109041478877
ECOGSPTOTAL,0.045676981540833876
ECOGPTPLAN,0.043289578035633804
MOCA,0.04264505624006084
NPISCORE,0.042022563012111845
APOE4,0.04111349022978405
BCINSOMN,0.04062571681888824
FHQSIB,0.03894003287161043
PTRACCAT,0.03827942055900482
ECOGSPLANG,0.03792282864252934
BCNAUSEA,0.03766599935896876
NXCONSCI,0.037322499260021506
ECOGSPPLAN,0.037300859444087384
NXHEEL,0.03719467442266742
ECOGSPORGAN,0.037011261731086535
BCDRYMTH,0.03670647197467747
MMSE,0.03662372062959625
BCVOMIT,0.036541556156547014
PXNECK,0.03645004201632541
NXMOTOR,0.03644231991772151
PXGENAPP,0.03641074147103359
ECOGPTMEM,0.0359066029492747
PTEDUCAT,0.035862486332519566
VSPULSE,0.035777500567581576
BCCHEST,0.03574804087388526
NXPLANTA,0.03574611987728311
BCWANDER,0.03551096648604874
ECOGSPVISSPAT,0.03515948354842057
PXBACK,0.03513302588770883
PTNOTRT,0.03511008771705224
FHQMOM,0.035103704533057764
BCELMOOD,0.03467689689161427
NXTREMOR,0.03465037205858169
BCCONSTP,0.03406325500243493
PTETHCAT,0.03406072780002818
PTMARRY,0.03382020276334085
BCFALL,0.03375809689584306
MH9ENDO,0.03354209085792232
PXPERIPH,0.0334875721283324
MHPSYCH,0.033347355217193266
BCANKLE,0.03334059150936296
MH16SMOK,0.03318845102046605
FHQMOMAD,0.033143477180713476
BCBREATH,0.03304875312728517
NXFINGER,0.03293370283320392
MH2NEURL,0.03292583624947827
BCDROWSY,0.032885886574383856
MH19OTHR,0.03286743803733715
FHQDAD,0.03278015609249045
BCSWEATN,0.03258805304172327
PTHAND,0.03254875869128682
BCABDOMN,0.032481337645536665
PTTLANG,0.03243790103378262
PXSKIN,0.03241186551728159
BCMUSCLE,0.03236322823504952
PXEXTREM,0.03234942706379066
NXAUDITO,0.03225423455679087
PXCHEST,0.03225078035252254
BCURNFRQ,0.032104545150602834
MH17MALI,0.03209999577141688
PTGENDER,0.03208610474178284
PXEDEMA,0.0320278883773597
BCDIARRH,0.031844691155461465
NXVISUAL,0.03164779796423956
BCCRYING,0.0315750848361368
PXHEADEY,0.03156438111463112
NXOTHER,0.03153365981075004
HMSCORE,0.03149087360145251
MH4CARD,0.03149087222905354
MH10GAST,0.031484405935973514
VSBPDIA,0.031465289883819574
NXTENDON,0.0314633183240508
MH3HEAD,0.03143115427678845
VSHEIGHT-cm,0.031410708225108476
ECOGPTTOTAL,0.031009816936160572
GDTOTAL,0.030890085479965308
VSTEMP-C,0.03088635446595879
MH6HEPAT,0.030866958521356
VSWEIGHT-kg,0.030689218363267264
MH12RENA,0.03060215543265229
PTDOBYY,0.030536570621718027
ECOGSPDIVATT,0.03042866549310736
PXOTHER,0.030274982216299293
MH5RESP,0.03023930597176454
DIGITSCOR,0.030026704273330783
PXMUSCUL,0.030007362658372394
ECOGPTORGAN,0.03000712488122828
BCCOUGH,0.029964765189144805
RAVLT_FORGETTING,0.029931351064919152
BCENERGY,0.02986970191934897
PTHOME,0.029830709041507066
BCPALPIT,0.029754866212248286
BCHDACHE,0.02969124786063663
MH15DRUG,0.029666526763896542
BCRASH,0.029658482013038584
MH8MUSCL,0.029653628341691524
PTPLANG,0.029493361560726992
ECOGPTLANG,0.02947879934458791
NXGAIT,0.029316500417428504
ECOGPTDIVATT,0.029284925082939253
BCVISION,0.029166619542998918
MH14ALCH,0.02891889723989113
MH11HEMA,0.028852572556355583
VSBPSYS,0.02881768236401601
BCDIZZY,0.028491560607443896
PXHEART,0.028458056697602725
NXSENSOR,0.02817959449070847
BCOTHER,0.02800864123317452
MH18SURG,0.02775002840194792
PXABDOM,0.027481533280367103
NXNERVE,0.02727835766189692
BCDPMOOD,0.02690458640179336
VSRESP,0.02651451422225306
MH7DERM,0.025904141369309564
MH13ALLE,0.025576715763495437
ECOGPTVISSPAT,0.02495756629322995
BCURNDIS,0.024584159211291787
