fold,acc,pre,sen,spe,f1,auc
1,0.7708333333333334,0.6216216216216216,0.7419354838709677,0.7846153846153846,0.6764705882352942,0.8292803970223325
2,0.8541666666666666,0.8214285714285714,0.71875,0.921875,0.7666666666666667,0.90625
3,0.7916666666666666,0.6875,0.6875,0.84375,0.6875,0.847900390625
4,0.8854166666666666,0.8888888888888888,0.75,0.953125,0.8135593220338984,0.9267578125
5,0.8,0.7,0.6774193548387096,0.859375,0.6885245901639344,0.861391129032258
