feature,importance_class_0,importance_class_1,importance_mean
185,0.062092234550315574,0.07786227046502366,0.06997725250766962
26,0.038094445548267686,0.05072937005267401,0.04441190780047084
60,0.03467770749314999,0.04232473039398125,0.03850121894356562
21,0.03956751549655261,0.03569317319913049,0.03763034434784155
138,0.018207903403284337,0.03897910370733371,0.02859350355530902
10,0.015306443465533448,0.021546628796462148,0.018426536130997796
38,0.013732495712853657,0.02231600989944127,0.018024252806147462
104,0.015444410069297495,0.01922844790412152,0.017336428986709507
73,0.014822695151451626,0.019770549066985648,0.01729662210921864
81,0.014944485331701193,0.019326110368031852,0.01713529784986652
131,0.01157484317112297,0.022189137031356648,0.016881990101239808
117,0.012801386427781836,0.020735325575515162,0.0167683560016485
171,0.018417816178650053,0.015093945419115093,0.016755880798882572
95,0.011401009088748046,0.018109507538307906,0.014755258313527975
98,0.00976995581625791,0.018487778486360185,0.014128867151309048
130,0.012903734791962052,0.01480367341522045,0.013853704103591252
105,0.00933297796526252,0.017433286235766825,0.013383132100514672
72,0.0010979832486105086,0.025623171036689502,0.013360577142650005
101,0.009041944074776135,0.017046187401623076,0.013044065738199606
121,0.014465175239214053,0.011301157858421599,0.012883166548817826
116,0.00978484916746917,0.014154302801027066,0.011969575984248118
62,0.005911095615526089,0.016523324148162526,0.011217209881844308
89,0.008842828254122045,0.013268274573420058,0.011055551413771052
68,0.010876009164007883,0.010512250459214556,0.01069412981161122
144,0.009311257942499651,0.01202997392101679,0.01067061593175822
129,0.005885886750320424,0.015024442216144962,0.010455164483232693
86,0.0066979204520597095,0.0133582030175603,0.010028061734810004
66,0.0094137749069129,0.01051675100097782,0.00996526295394536
42,0.008964774897928388,0.010920919965731931,0.00994284743183016
184,0.005114321301751564,0.014754779444047017,0.00993455037289929
57,0.004305213490849151,0.015288627208974503,0.009796920349911828
136,0.006143405395960144,0.013310145971748474,0.00972677568385431
187,0.01044773134344723,0.008779169784247642,0.009613450563847437
174,0.007796973353909682,0.010501487145707719,0.009149230249808701
40,0.005367451183398468,0.01236457592676743,0.008866013555082949
140,0.013022157460956882,0.004509141886652894,0.008765649673804887
58,0.007762216956204308,0.009727767604999826,0.008744992280602068
75,0.0071999242190562045,0.01015695913304171,0.008678441676048957
20,0.005155279518286686,0.011929999190006887,0.008542639354146786
63,0.008450572971848183,0.008525371311103905,0.008487972141476044
154,0.007654563549901165,0.009170946116379733,0.008412754833140449
113,0.007768111822466987,0.008904437737328408,0.008336274779897698
54,0.004908990080063329,0.01157658869124134,0.008242789385652335
177,0.006815836433588629,0.009338259625413533,0.008077048029501082
190,0.008091751597021357,0.007076275755025563,0.00758401367602346
120,0.0074777841423762465,0.007332120676816582,0.007404952409596414
181,0.006351927261979047,0.008401885599141679,0.0073769064305603625
107,0.006369969141317711,0.008353786009441441,0.007361877575379576
148,0.006055932084943076,0.008158512411474325,0.0071072222482087
71,0.00690070499695139,0.007051551425926543,0.006976128211438967
29,0.0042878574085989385,0.009501422711764462,0.0068946400601817
47,0.007498668165112576,0.00624404662901649,0.006871357397064534
18,0.0055120666612917075,0.0074680859064149745,0.006490076283853341
180,0.006207247088430752,0.006639629365546777,0.006423438226988765
141,0.00810564722678464,0.004737117069453234,0.006421382148118937
82,0.002132805118700768,0.01066094534826334,0.006396875233482054
156,0.0038340668603874897,0.008890695256013714,0.006362381058200602
127,0.006798873969501074,0.00575701514450581,0.006277944557003442
55,0.00524346129782316,0.007274081605016154,0.006258771451419657
25,0.006417106070936522,0.005880664096669837,0.0061488850838031794
83,0.005116794500395372,0.007156033213287098,0.006136413856841235
