label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
0,-0.08154,0.2878,0.241,-0.3933,0.1055,-0.1635,-0.7695,1.211,-0.3943,1.043,-0.719,0.0997,-0.432,0.2075,0.1076,-0.02979,-0.06494,0.251,0.4768,-0.506,-0.4956,0.597,-0.3008,-0.4565,-0.0966,-0.4448,-2.205,-0.3508,0.04254,0.1818,0.1932,0.0479,0.1339,-0.02496,0.3203,-0.2231,0.3062,0.914,0.387,-0.4294,0.10815,-0.02406,0.01851,0.507,-0.0915,0.01947,-0.5356,-0.03372,-0.3167,0.2113,0.09674,0.04068,-0.383,1.057,0.3857,-0.1272,-0.1537,0.1992,-0.1277,0.135,2.562,0.2051,-0.511,-9.15,-0.2072,0.548,0.5166,0.0661,-0.3174,0.2288,0.529,-0.2632,7.586,-0.849,0.4822,-0.0935,0.2036,0.977,0.648,0.02417,-0.0703,0.3806,-0.0394,0.0729,-0.2186,0.1041,-0.2402,0.4482,-0.01913,-0.2793,-0.01099,-0.687,-0.2422,-0.09937,-0.342,0.896,0.1571,0.1204,0.155,-2.857,0.1293,0.624,0.03802,0.01368,-0.7944,-0.1829,-0.2998,-0.02654,0.0672,0.272,0.00747,0.08923,-0.348,-0.004158,-0.52,0.364,-0.2059,0.037,-0.0817,-0.1251,-0.1757,0.601,-0.2935,-0.3538,-0.1671,1.069,-0.1036,0.1633,0.158,0.03014,-0.0593,0.592,0.6895,0.12396,-0.2837,-0.006268,-0.5737,-0.03156,-0.972,-0.03265,0.1576,0.0529,0.4475,0.1288,0.10266,-0.4897,-0.2216,-1.59,-0.03284,-0.0544,0.1112,-0.2279,-0.35,-0.2812,0.4263,0.271,0.472,-0.1578,-0.2001,0.1392,0.1838,-0.0699,-0.117,0.01417,0.313,-0.4006,-0.2864,-0.3718,-0.06073,0.3296,-0.08575,0.2527,-0.1488,0.1349,0.3147,0.3423,0.176,-0.0892,-0.2456,0.1661,-0.0749,-0.253,-0.2437,0.10345,0.1131,2.033,-0.3442,0.1498,0.1669,0.1015,0.00609,-0.2148
0,-0.1094,0.2583,0.1208,-0.1661,-0.2216,-0.1631,-0.851,1.084,-0.2988,0.9775,-0.3997,0.235,-0.3801,0.2189,0.2842,-0.19,-0.2335,0.3718,0.08826,-0.3562,-0.3381,-0.137,-0.408,-0.2727,-0.1775,-0.321,-1.778,-0.382,0.1552,-0.0197,0.268,0.1671,0.2195,0.01845,0.4585,-0.0547,0.0987,0.755,0.2279,-0.4658,-0.2598,-0.1627,-0.1456,0.3032,-0.2515,-0.03455,-0.3564,0.2109,-0.146,0.1392,0.04736,0.244,-0.1545,0.8374,0.0904,-0.3782,-0.10114,0.1484,-0.5073,-0.00899,1.961,0.1512,-0.205,-9.38,-0.1195,0.4734,0.2893,0.0935,-0.02267,0.2108,0.4714,0.0368,8.23,-0.2927,0.302,-0.4983,0.2776,1.114,0.3176,-0.006042,-0.0493,0.1439,0.11,-0.03004,-0.058,0.013916,-0.013214,0.571,0.04495,-0.02058,-0.2983,-0.5967,-0.1044,-0.02107,-0.1761,0.5317,0.1658,0.388,-0.2225,-2.615,0.3484,0.1342,0.02098,-0.0205,-0.4846,-0.05948,-0.1109,-0.219,-0.05005,0.2064,-0.01263,0.03384,-0.2756,0.2546,-0.5396,0.369,0.06155,0.571,-0.2983,0.04633,-0.10535,0.11743,-0.4067,-0.329,-0.0897,0.745,-0.07275,0.1536,0.0768,0.228,0.1669,0.9976,0.4177,0.271,-0.5127,0.04684,-0.375,0.03354,-0.2527,-0.2262,0.4358,-0.2456,0.4885,-0.05035,0.03247,-0.4814,-0.3552,-1.561,0.2039,-0.09894,0.04514,-0.2805,-0.3416,-0.1089,0.3723,0.3496,0.2114,-0.119,-0.0659,0.1617,0.228,0.2383,0.006237,0.2163,0.2937,-0.5396,-0.2104,-0.505,-0.2095,0.262,0.0721,0.09503,-0.09674,0.246,0.11725,0.2289,0.00997,0.2009,-0.4011,0.3374,-0.05212,0.0477,-0.2268,0.379,0.276,0.9546,-0.2275,-0.2084,0.2083,-0.08295,0.1444,-0.2136
0,-0.01353,0.2476,0.2336,-0.2534,-0.138,-0.2242,-0.8013,1.132,-0.365,0.9795,-0.4675,0.1119,-0.3718,0.2385,0.3398,-0.1791,-0.1666,0.2725,0.0763,-0.331,-0.2869,-0.04626,-0.326,-0.3333,-0.10126,-0.3374,-1.886,-0.326,0.0385,0.05112,0.255,-0.03424,0.2135,0.003227,0.285,-0.152,0.1313,0.8037,0.2715,-0.4138,-0.2178,-0.0839,-0.109,0.335,-0.2888,-0.0322,-0.3787,0.1617,-0.1178,0.1696,0.0897,0.1423,-0.2607,0.7773,0.1426,-0.1372,-0.1107,0.139,-0.3699,-0.03748,1.98,0.245,-0.206,-9.43,-0.03976,0.4695,0.3093,0.10376,-0.0977,0.09485,0.4675,0.01581,8.21,-0.439,0.2505,-0.526,0.2834,1.115,0.3892,0.02513,-0.06805,0.2634,0.03186,-0.00637,-0.1422,0.05185,0.05658,0.4597,-0.0822,-0.12244,-0.243,-0.6567,-0.1449,0.02933,-0.3503,0.596,0.1765,0.304,-0.1506,-2.723,0.3408,0.1997,0.02875,-0.05585,-0.428,-0.0767,-0.1775,-0.08563,-0.00632,0.2018,0.03041,0.0224,-0.1735,0.1975,-0.489,0.3752,0.0139,0.422,-0.3442,-0.003195,-0.1089,0.2245,-0.3318,-0.2164,-0.0964,0.693,-0.02243,0.175,0.05112,0.1345,0.2251,0.9067,0.465,0.3262,-0.316,0.03336,-0.3806,-0.03436,-0.4033,-0.1555,0.2242,-0.1604,0.4993,0.00716,-0.02068,-0.4968,-0.2588,-1.407,0.218,-0.0677,0.05707,-0.278,-0.1799,-0.1345,0.3936,0.3154,0.2452,-0.0869,-0.0879,0.1978,0.2183,0.1808,-0.0456,0.0872,0.1666,-0.36,-0.249,-0.519,-0.1185,0.3408,-5.32e-05,0.0829,-0.0969,0.2198,0.171,0.2206,0.09515,0.1116,-0.3394,0.1646,-0.1451,-0.03952,-0.2073,0.1417,0.2463,1.225,-0.2258,-0.04706,0.1295,-0.01152,0.1454,-0.1283
0,-0.1606,0.334,0.02826,-0.4114,0.0781,0.1709,-0.8687,0.9717,-0.4211,0.8936,-0.851,-0.082,-0.393,0.0344,0.01976,0.1062,-0.01685,0.2296,0.7544,-0.4263,-0.6357,0.9546,-0.0772,-0.4067,-0.003885,-0.5234,-2.291,-0.3691,-0.1034,0.1665,-0.1404,0.00979,0.3657,0.06714,0.2318,-0.1658,0.305,0.808,0.4644,-0.1285,0.425,-0.1703,0.494,0.4543,0.0265,0.27,-0.4304,-0.1929,-0.1427,0.06274,0.12244,-0.1672,-0.5195,1.071,0.5015,-0.0808,-0.1779,0.337,-0.02531,0.2406,2.77,0.205,-0.664,-8.76,-0.3452,0.554,0.4668,0.0194,-0.2115,0.3787,0.3499,-0.3774,7.273,-0.995,0.64,0.10425,0.2106,0.7764,0.9453,-0.02065,-0.0232,0.4602,-0.002724,0.2103,-0.4246,0.2316,-0.515,0.4146,-0.08295,-0.3992,0.2147,-0.721,-0.1332,-0.09814,-0.2673,1.143,0.10675,-0.05844,0.2167,-3.03,0.1559,1.145,-0.00681,0.06665,-0.899,-0.4033,-0.4348,0.05035,-0.006176,0.3838,-0.1394,0.1244,-0.404,-0.261,-0.3206,0.1897,-0.3467,-0.218,0.06506,-0.229,-0.2656,0.7246,-0.11346,-0.04028,-0.01828,1.209,0.0005946,0.0882,0.0374,0.2086,-0.2244,0.287,0.745,-0.0718,-0.0649,-0.0566,-0.5444,-0.1342,-1.396,0.06088,0.0922,0.07275,0.5986,-0.03027,0.0933,-0.515,-0.2786,-1.872,-0.0714,0.01598,0.05768,-0.4204,-0.4272,-0.351,0.5312,0.01997,0.537,-0.3435,-0.353,0.03946,0.012474,-0.02473,-0.4878,-0.01328,0.4082,-0.1794,-0.1915,-0.1399,-0.067,0.06094,-0.135,0.4998,-0.0781,0.06058,0.5884,0.3296,0.3513,-0.3977,0.03035,0.2683,-0.02882,-0.387,-0.01869,0.0934,-0.1509,2.371,-0.2957,0.487,0.0394,0.0928,-0.2007,-0.4138
0,0.00363,0.2041,0.2996,-0.2092,0.034,-0.1953,-0.7495,1.184,-0.3987,0.999,-0.574,0.1338,-0.3667,0.1917,0.2253,-0.09045,-0.1125,0.1951,0.1005,-0.4011,-0.3342,0.2357,-0.405,-0.407,-0.1403,-0.335,-1.971,-0.3113,0.10736,0.01593,0.279,-0.0874,0.2244,0.03793,0.3762,-0.1882,0.08795,0.7837,0.4307,-0.4558,-0.073,-0.05423,-0.0998,0.4216,-0.3262,-0.05713,-0.3748,0.05304,-0.1256,0.2308,0.0637,0.06714,-0.2944,0.849,0.1586,-0.1492,-0.0936,0.1372,-0.2167,-0.004795,2.1,0.2944,-0.3435,-9.36,-0.08575,0.525,0.3384,0.1653,-0.221,0.1302,0.4717,-0.01183,8.15,-0.5093,0.2573,-0.3672,0.1271,1.052,0.3645,0.0702,-0.0662,0.2312,0.01982,0.00898,-0.1488,0.04083,-0.05893,0.4548,-0.1848,-0.2178,-0.138,-0.6206,-0.1072,-0.06635,-0.4011,0.5547,0.2152,0.2854,-0.02951,-2.754,0.2402,0.2747,0.0335,0.0319,-0.634,-0.1187,-0.1621,-0.01569,0.0624,0.2269,0.0889,-0.02199,-0.291,0.2096,-0.574,0.3586,-0.006847,0.2786,-0.281,-0.07697,-0.04587,0.3435,-0.4265,-0.1825,-0.1285,0.887,-0.01242,0.2363,0.10864,-0.05267,0.2317,0.809,0.5264,0.2793,-0.226,0.03125,-0.541,0.03857,-0.531,-0.08167,0.1143,-0.0907,0.481,0.04727,0.0277,-0.516,-0.2913,-1.379,0.1637,-0.05075,0.0737,-0.197,-0.2546,-0.2268,0.3865,0.3955,0.2448,-0.09796,-0.1838,0.2115,0.2532,0.10297,-0.0347,0.1179,0.1935,-0.3315,-0.2007,-0.4434,0.00517,0.2898,-0.067,0.09546,-0.1532,0.11566,0.1187,0.261,0.04053,0.0705,-0.3674,0.1703,-0.1504,-0.068,-0.2269,0.1968,0.2211,1.367,-0.3357,0.012695,0.1948,0.0958,0.1313,-0.11224
0,-0.01712,0.2573,0.1467,-0.2046,-0.12256,-0.2766,-0.6665,1.078,-0.3325,0.9766,-0.407,0.2615,-0.3828,0.277,0.2603,-0.1787,-0.1808,0.1918,0.03656,-0.3608,-0.2898,-0.308,-0.396,-0.2927,-0.0571,-0.262,-1.661,-0.3552,0.1539,0.01207,0.2264,0.0736,0.2289,0.0668,0.4102,-0.0657,0.0698,0.8306,0.2368,-0.398,-0.3174,-0.1514,-0.07605,0.3188,-0.2303,-0.06726,-0.3652,0.257,-0.2188,0.0887,0.1414,0.2012,-0.14,0.6816,0.00833,-0.458,-0.1022,0.07214,-0.4219,0.08167,1.781,0.2255,-0.0955,-9.44,-0.0875,0.4407,0.3486,-0.02661,-0.1714,0.1364,0.4438,0.03162,8.305,-0.3062,0.1948,-0.4932,0.3013,1.115,0.4924,-0.0414,0.01982,0.1488,0.1527,-0.0924,0.01782,0.1876,0.001682,0.4177,0.0991,-0.09106,-0.364,-0.5444,-0.2203,-0.0635,-0.2217,0.4297,0.2365,0.3538,-0.0905,-2.61,0.3342,0.01962,-0.11035,-0.10455,-0.4521,0.04062,0.09393,-0.004784,0.0254,0.2827,0.03198,0.06915,-0.1786,0.2075,-0.64,0.2737,0.0979,0.4758,-0.3618,0.0575,-0.1602,0.1543,-0.3267,-0.2732,-0.1531,0.7104,-0.1769,0.1597,0.1288,0.2715,0.1611,1.047,0.4058,0.329,-0.49,0.03485,-0.4514,0.0535,-0.2493,-0.3267,0.3564,-0.19,0.5356,-0.0795,0.06137,-0.5117,-0.292,-1.568,0.1732,-0.02911,0.007336,-0.283,-0.2157,-0.2065,0.2443,0.3386,0.1694,-0.0421,0.0251,0.1903,0.3506,0.1766,0.0233,0.1107,0.1527,-0.4717,-0.1472,-0.4775,-0.2563,0.355,0.009605,0.1559,-0.044,0.233,0.1555,0.1555,0.0712,0.157,-0.377,0.195,-0.1782,0.0909,-0.2683,0.2383,0.4058,0.836,-0.1724,-0.2634,0.2135,0.00909,0.251,-0.179
0,-0.1342,0.3281,0.2219,-0.2888,0.03555,-0.1804,-0.8765,1.179,-0.415,1.026,-0.754,0.10065,-0.4268,0.2317,0.2139,-0.001584,-0.1323,0.3142,0.4978,-0.5186,-0.4707,0.5586,-0.3335,-0.439,-0.10675,-0.4106,-2.186,-0.3337,0.07465,0.1995,0.1959,0.03256,0.12,0.04236,0.3916,-0.1826,0.2452,0.8994,0.435,-0.4087,0.0237,-0.0706,0.0788,0.4224,-0.1213,0.04733,-0.4695,-0.01146,-0.2808,0.1722,0.08813,0.1239,-0.4224,1.045,0.401,-0.1691,-0.1683,0.2407,-0.156,0.1267,2.523,0.225,-0.5337,-9.125,-0.2527,0.514,0.4553,0.07275,-0.3364,0.221,0.4937,-0.239,7.695,-0.804,0.4817,-0.1626,0.1802,0.9663,0.621,-0.01897,-0.12115,0.3223,0.0036,0.1537,-0.2046,0.0943,-0.1869,0.3933,-0.1197,-0.2725,0.003254,-0.699,-0.2416,-0.07446,-0.3135,0.833,0.255,0.12164,0.0908,-2.809,0.1982,0.6494,0.02982,0.0398,-0.775,-0.2522,-0.292,-0.05106,-0.01422,0.2524,-0.004745,0.0769,-0.274,-0.0466,-0.504,0.4338,-0.1627,0.10034,-0.1245,-0.0476,-0.2423,0.5767,-0.33,-0.2776,-0.1543,1.002,0.01165,0.1714,0.1195,0.08234,-0.02975,0.618,0.6724,0.10583,-0.2898,0.02594,-0.571,-0.005535,-0.9365,-0.0734,0.1882,0.03937,0.51,0.02162,0.05756,-0.515,-0.268,-1.607,0.02585,-0.06726,0.0802,-0.2465,-0.2712,-0.249,0.386,0.2349,0.4387,-0.179,-0.2078,0.1512,0.1934,0.03583,-0.1714,0.07404,0.3303,-0.3586,-0.314,-0.3896,-0.12335,0.261,-0.05807,0.2644,-0.1489,0.1071,0.355,0.343,0.1572,-0.08997,-0.2664,0.2097,-0.0875,-0.2036,-0.1831,0.0839,0.05594,2.0,-0.3447,0.1606,0.193,0.09,0.01185,-0.2732
0,-0.07056,0.2954,0.3083,-0.3018,0.1153,-0.1323,-0.8013,1.162,-0.3643,1.025,-0.8604,0.00939,-0.3928,0.1674,0.0903,0.0614,-0.05212,0.1956,0.439,-0.3774,-0.4995,0.6626,-0.2046,-0.512,-0.03122,-0.4983,-2.264,-0.335,0.04245,0.2026,0.09607,-0.1305,0.2231,-0.000285,0.2598,-0.2976,0.2256,0.8564,0.5366,-0.3997,0.1732,-0.03778,0.1794,0.4646,-0.1012,0.03348,-0.4473,-0.0635,-0.2612,0.1744,0.1771,-0.09204,-0.3384,1.0,0.352,-0.0536,-0.09125,0.2212,-0.0455,0.1192,2.555,0.2546,-0.4863,-9.11,-0.179,0.53,0.5166,0.146,-0.37,0.2041,0.4402,-0.1606,7.637,-0.8843,0.4575,-0.1122,0.1268,0.938,0.7393,0.0534,-0.0933,0.3345,0.007477,0.1162,-0.3567,0.168,-0.2795,0.3347,-0.1825,-0.2861,0.01617,-0.653,-0.1329,-0.03415,-0.3926,0.829,0.1791,0.004147,0.1313,-2.916,0.2317,0.6875,-0.03802,0.042,-0.808,-0.2957,-0.233,0.097,0.0721,0.297,-0.01567,0.002981,-0.266,-0.07465,-0.466,0.2336,-0.1929,-0.0775,-0.0707,-0.0773,-0.2435,0.634,-0.276,-0.1043,-0.1772,0.9854,-0.01004,0.2615,0.178,0.02475,0.04303,0.5913,0.7236,0.1958,-0.11584,0.0181,-0.68,-0.08136,-1.049,-0.07574,0.002398,0.1172,0.4888,0.0501,0.0845,-0.561,-0.2268,-1.556,0.011986,-0.05713,0.0742,-0.2213,-0.26,-0.237,0.407,0.1948,0.46,-0.2131,-0.2151,0.141,0.1799,-0.1047,-0.311,0.0337,0.2191,-0.2318,-0.2788,-0.2822,-0.01723,0.2389,-0.1715,0.2349,-0.1798,0.07635,0.3735,0.3123,0.2927,-0.1367,-0.251,0.0829,-0.1356,-0.2659,-0.07825,-0.04333,0.0826,2.053,-0.3342,0.2489,0.1744,0.1617,-0.03015,-0.1914
0,-0.1443,0.2727,0.0882,-0.11993,-0.216,-0.1058,-0.667,0.98,-0.2788,0.9727,-0.2183,0.2693,-0.3328,0.1769,0.267,-0.1632,-0.2207,0.2915,0.004,-0.1812,-0.2251,-0.5044,-0.3523,-0.1613,-0.0727,-0.1539,-1.452,-0.3098,0.1083,-0.0909,0.2534,0.1556,0.1766,0.06198,0.2795,-0.05844,0.0469,0.6,0.09784,-0.319,-0.4092,-0.1198,-0.1512,0.1864,-0.252,-0.05582,-0.3232,0.2578,-0.1367,0.09985,0.1932,0.2479,-0.03705,0.701,0.10394,-0.3406,-0.1154,0.007168,-0.5884,-0.014755,1.561,0.1528,-0.05197,-9.516,-0.0402,0.3582,0.2107,0.1213,0.007362,0.194,0.4143,0.114,8.48,-0.1682,0.2664,-0.4941,0.3337,1.019,0.2795,0.03427,-0.02045,0.01764,0.2703,-0.04358,-0.02094,0.0158,0.1032,0.573,0.0732,0.05154,-0.3533,-0.5117,-0.04706,-0.01704,-0.1707,0.3833,0.1179,0.344,-0.3196,-2.605,0.333,0.0229,0.02173,-0.02394,-0.2615,0.1168,-0.10236,-0.2942,-0.01929,0.1782,0.05267,-0.0108,-0.2129,0.2554,-0.4478,0.3315,0.04065,0.626,-0.3296,0.004196,-0.0647,0.015144,-0.3577,-0.3215,-0.0726,0.645,-0.06946,0.10535,0.015015,0.327,0.1385,1.138,0.262,0.2634,-0.4458,-0.04224,-0.269,0.0348,-0.0562,-0.2246,0.413,-0.297,0.4797,-0.0716,-0.02435,-0.406,-0.246,-1.521,0.1615,-0.1322,0.09326,-0.3271,-0.2695,-0.07904,0.2852,0.3196,0.1083,-0.1672,0.0562,0.0916,0.2542,0.2117,0.1465,0.036,0.1838,-0.4314,-0.10443,-0.493,-0.1188,0.345,0.01892,0.006878,-0.0873,0.2502,0.03653,0.1527,-0.0674,0.2886,-0.2866,0.2795,-0.0737,0.0658,-0.2384,0.3477,0.2305,0.4497,-0.09546,-0.1984,0.1721,-0.128,0.1426,-0.1838
0,-0.07996,0.2698,0.11584,-0.1676,-0.2102,-0.1492,-0.7603,1.142,-0.3252,0.9883,-0.4263,0.1508,-0.318,0.1781,0.323,-0.1747,-0.2009,0.3345,0.02234,-0.2474,-0.3225,-0.02448,-0.36,-0.2356,-0.1445,-0.389,-1.828,-0.3616,0.01921,0.02223,0.215,0.08234,0.1921,-0.01167,0.26,-0.1207,0.12225,0.654,0.2988,-0.4062,-0.1888,-0.1359,-0.06238,0.3,-0.3118,-0.0752,-0.292,0.1888,-0.11566,0.1744,0.09595,0.1754,-0.1962,0.777,0.163,-0.1925,-0.08356,0.134,-0.4626,-0.0535,1.999,0.1959,-0.12036,-9.414,-0.0709,0.4702,0.3254,0.1589,-0.01449,0.2107,0.51,0.064,8.266,-0.38,0.2286,-0.4836,0.2905,1.047,0.3506,0.06775,-0.05478,0.2003,0.1436,-0.02827,-0.078,-0.0272,0.03796,0.5503,-0.0454,-0.01788,-0.269,-0.63,-0.02745,0.0789,-0.2491,0.642,0.1176,0.2979,-0.2318,-2.674,0.3738,0.1906,0.011986,-0.01544,-0.4607,-0.09424,-0.2498,-0.1425,-0.009,0.1405,0.02307,-0.0625,-0.2219,0.264,-0.4714,0.3086,-0.0581,0.4163,-0.2932,-0.000117,-0.0978,0.2261,-0.3926,-0.2156,-0.10095,0.755,-0.04404,0.2324,0.0393,0.1251,0.1935,0.979,0.4104,0.329,-0.3472,0.00901,-0.3672,-0.00734,-0.3892,-0.1981,0.2715,-0.1864,0.502,-0.06525,-0.01144,-0.4922,-0.3252,-1.497,0.2396,-0.1137,0.0564,-0.2515,-0.21,-0.115,0.4236,0.3245,0.2031,-0.1688,-0.05008,0.1504,0.1527,0.1925,0.02243,0.0816,0.1832,-0.4954,-0.2103,-0.4946,-0.07916,0.3804,-0.0416,0.1779,-0.1362,0.214,0.09546,0.2035,0.0645,0.1565,-0.3628,0.1891,-0.1396,-0.02945,-0.1805,0.2029,0.11273,1.121,-0.1698,-0.10297,0.1493,-0.04984,0.0655,-0.1519
