feature,importance_class_0,importance_class_1,importance_mean
185,0.08546179502203206,0.09174292436728138,0.08860235969465671
21,0.02620460753435812,0.04868230220138988,0.037443454867874
60,0.01800821787583118,0.050311817746357214,0.03416001781109419
138,0.021350718273879465,0.04423322786433914,0.032791973069109304
10,0.01684820455920999,0.0295060765118554,0.023177140535532693
73,0.01968469259372796,0.022764233498795267,0.02122446304626161
95,0.020112526068714942,0.02205861121304527,0.021085568640880105
171,0.012836041578339064,0.02258074251828172,0.017708392048310394
183,0.018995389241657296,0.014631306495857643,0.016813347868757468
26,0.002348209917196679,0.03040188303494536,0.01637504647607102
98,0.017039405743768537,0.014866790941596264,0.015953098342682402
104,0.017943779754811356,0.01390916188271755,0.015926470818764454
25,0.016731601946958108,0.012593618829479661,0.014662610388218884
82,0.012445837946264268,0.015391358561525218,0.013918598253894743
18,0.006539916029699573,0.01926251316278164,0.012901214596240607
58,0.01232113577286024,0.013287467894315341,0.01280430183358779
40,0.01171248299851868,0.01320726603504833,0.012459874516783504
38,0.007222110934132313,0.017350232914244163,0.012286171924188238
121,0.006577092952966268,0.017686575485640788,0.012131834219303528
89,0.008234940529481113,0.01597398179243707,0.01210446116095909
141,0.013351790331095495,0.010546962828963538,0.011949376580029517
42,0.007820691141811645,0.0157351358714853,0.011777913506648474
78,0.010316341464810344,0.012593870812300642,0.011455106138555493
116,0.011146314491649415,0.011570091087681552,0.011358202789665484
125,0.007463077562003188,0.014500323044861338,0.010981700303432262
145,0.01014930163516207,0.010812683441751384,0.010480992538456727
144,0.007074944057118652,0.013641949998297301,0.010358447027707976
132,0.018049662010525935,0.0022142939592223834,0.01013197798487416
106,0.008570568229837741,0.011418394536197715,0.009994481383017728
70,0.01208099861272179,0.007756153951656112,0.009918576282188951
174,0.009149770646862029,0.010612542513778559,0.009881156580320294
107,0.004699377230811781,0.015027086865908737,0.00986323204836026
105,0.010562751448257282,0.009145604994652482,0.009854178221454882
62,0.007257381269331138,0.012152493911344209,0.009704937590337673
101,0.008309213108873337,0.010949085869469855,0.009629149489171596
55,0.013757745710715122,0.005486019047111768,0.009621882378913444
136,0.008200477107341916,0.01103584096601177,0.009618159036676843
75,0.008450730515657293,0.010694050713937031,0.009572390614797161
36,0.00589504197826803,0.013121000500783945,0.009508021239525988
166,0.005795464674899146,0.012986448662104522,0.009390956668501834
129,0.009336335866464651,0.009370197262645283,0.009353266564554968
86,0.0035970014949195197,0.014913029031921118,0.009255015263420319
140,0.006259951465478271,0.011461862870040326,0.008860907167759299
162,0.008872995607760004,0.008391558398817741,0.008632277003288873
161,0.006929245461435585,0.009972256867513352,0.008450751164474468
177,0.009655024598638798,0.007126319960965096,0.008390672279801947
137,0.007698503795533422,0.00902872791630216,0.008363615855917791
181,0.01113314194041474,0.0051129486309567556,0.008123045285685748
66,0.007271962792780566,0.008916870352701759,0.008094416572741162
52,0.007922185461969397,0.00723514526028642,0.007578665361127909
120,0.007358202630712185,0.007646466863813354,0.00750233474726277
72,0.0028160151478762905,0.012042349742159786,0.007429182445018038
159,0.004399822674107175,0.010226509471673731,0.0073131660728904535
29,0.0062537064926194335,0.008189767513613333,0.007221737003116383
28,0.0006027846640961343,0.013646296713583675,0.007124540688839905
90,0.004467733162755394,0.009476279541559052,0.006972006352157223
190,0.009190699149257853,0.004499925246515583,0.006845312197886718
117,0.0074048085519583156,0.006281709794014508,0.006843259172986412
24,0.006655187917658623,0.006977903019408889,0.0068165454685337554
94,0.0057857081474139704,0.007569803565578089,0.006677755856496029
184,0.005715098174656911,0.007531673164559531,0.006623385669608221
20,0.005609653587830128,0.007552833745648968,0.006581243666739548
81,0.0003898495486396314,0.012689293159079776,0.006539571353859704
34,0.004914368684358313,0.00801816288170206,0.006466265783030186
7,0.005914866612954484,0.006956696226817864,0.006435781419886174
130,0.0030827487427510882,0.009660190068151072,0.00637146940545108
156,0.006802249252814363,0.005939951008732199,0.00637110013077328
154,0.005132130874206571,0.007540728233304132,0.006336429553755352
147,0.004356563472280565,0.00794543103165779,0.006150997251969178
71,0.00508879529540233,0.006873721339313003,0.005981258317357667
43,0.0020602720522001996,0.00976576937015731,0.0059130207111787545
113,0.0064828973975939634,0.005314385631663754,0.005898641514628858
191,0.0036194814892572444,0.00814784629286199,0.0058836638910596175
68,0.008629908010940804,0.003080054546363916,0.00585498127865236
180,0.006681449170741871,0.0046916213323697775,0.005686535251555824
88,0.004554700791686628,0.006259612434102261,0.005407156612894445
47,0.0024527322956752564,0.00826895357245879,0.005360842934067023
83,0.004587160103236935,0.0060313492921958796,0.0053092546977164074
187,0.007234456753697789,0.0032044526994165303,0.00521945472655716
30,0.007651983555357826,0.0026937116173576157,0.005172847586357721
